,Prompt,Response
0,There Were 2 Mass Shootings In Texas Last Week  But Only 1 On TV,There Were 2 Mass Shootings In Texas Last Week  But Only 1 Got Air Time
1,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Bop
2,Hugh Grant Marries For The First Time At Age 57,Hugh Grant finally tied the knot at 57.
3,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork
4,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog
5,Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Undermine Legacy,Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Tarnish Legacy
6,Donald Trump Is Lovin' New McDonald's Jingle In 'Tonight Show' Bit,Donald Trump Is Diggity Down with the New McDonald's Jingle In 'Tonight Show' Bit
7,What To Watch On Amazon Prime That 2019s New This Week,What's good on Amazon Prime that just came out this week?
8,Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film,Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film
9,What To Watch On Hulu That 2019s New This Week,What's new on Hulu this week?
10,Justin Timberlake Visits Texas School Shooting Victims,Justin Timberlake Pays a Visit to Texas School Shooting Victims
11,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit
12,With Its Way Of Life At Risk  This Remote Oyster-Growing Region Called In Robots,With Its Way Of Life At Risk  This Remote Oyster-Growing Region Called In the Robots
13,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Fucked System
14,'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.,Trump's Son Should Be Worried': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.
15,Edward Snowden: There's No One Trump Loves More Than Vladimir Putin,Edward Snowden: Trump Loves Putin More Than Anyone
16,Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim,Booyah: Obama Photographer Trolling Trump's 'Spy' Claim
17,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Ireland Voted To Repeal Abortion Amendment In Landslide Referendum
18,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation,"Ryan Zinke's tryna' do some damage control with his ""grand pivot"" to conservation."
19,Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Does),Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Totally Does)
20,Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining,Twitter #PutStarWarsInOtherFilms And It Was Hilarious
21,Mystery 'Wolf-Like' Animal Reportedly Shot In Montana  Baffles Wildlife Officials,Mystery 'Wolf-Like' Animal Reportedly Shot In Montana  Baffles Wildlife Officials
22,North Korea Still Open To Talks After Trump Cancels Summit,North Korea Still Open To Talks After Trump Yeets from Summit
23,2 Men Detonate Bomb Inside Indian Restaurant Near Toronto  Authorities Say,2 Dudes Detonate Bomb Inside Indian Restaurant Near Toronto  Authorities Say
24,Thousands Travel Home To Ireland To Vote On Abortion Access,Thousands of Irish people travel home to vote on abortion access.
25,Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals,Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals
26,Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Fake Patriotism',Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Bogus Patriotism'
27,In Historic Victory  Barbados Elects First Female Prime Minister, In Historic Victory Barbados Elects First Female Prime Minister
28,Police Killed At Least 378 Black Americans From The Moment Colin Kaepernick Protested,Police Killed At Least 378 Black Americans Since Colin Kaepernick's Protest
29,Jack Johnson Was Pardoned  But Taboo Sex Is Still Being Criminalized,Jack Johnson Was Pardoned But Taboo Sex Is Still Being Criminalized
30,BET Chairman and CEO Debra Lee Is Stepping Down,BET Chairman and CEO Debra Lee Is Bailing
31,Rachel Dolezal Faces Felony Charges For Welfare Fraud,Rachel Dolezal is in some hot water for allegedly committing welfare fraud.
32,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus', Bishop Michael Curry joins the Christian March to the White House to 'Reclaim Jesus'
33,Kanye West Spent $85 000 On Photo Of Whitney Houston's Bathroom For Album Cover,Kanye West Spent $85 000 On Photo Of Whitney Houston's Bathroom For Album Cover and People Are Losing Their Minds
34,Morgan Freeman Dropped From Marketing Campaigns After Harassment Accusations,Morgan Freeman got the boot from marketing campaigns after harassment accusations
35,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today,The Chinese Exclusion Act is some old news that can help us understand immigration politics today.
36,Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter,Trump's New 'MAGA'-Themed Swimwear is a Flop
37,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit
38,Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Punishment,Colbert's tryna turn NYC subway rides into a new and terrible punishment.
39,Man Faces Charges After Pulling Knife  Stun Gun On Muslim Students At McDonald's,Man Facing Charges After He Pulled a Knife and Stun Gun on Muslim Students At McDonald's
40,Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry',Jimmy Kimmel knows why Iran's Supreme Leader is all about that 'Tom And Jerry' life
41,2 People Injured In Indiana School Shooting,2 People Injured In Indiana School Shooting
42,People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman,This Nigerian Dude Looks Just Like Chadwick Boseman and People Are Losing Their Minds
43,David Cross Proves Yet Again That He 2019s Terrible At Apologizing,David Cross Proves Yet Again That He's a Garbage Apologizer
44,'Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film,Sesame Street' Creators Sue Makers Of Upcoming Puppet Porno
45,What You Missed About The Saddest Death In 'Avengers: Infinity War',What You Missed About The Saddest Death In 'Avengers: Infinity War'
46,George Takei Accuser Walks Back Story Of Drugging And Sexual Assault,George Takei's accuser takes back story of roofie and sexual assault
47,Samantha Bee's Parents Think America Is Basically A War Zone, Samantha Bee's Parents Think America Is Basically Pew Pew and Boom Boom
48,Pete Davidson Says His Mental Illness Doesn't Ruin Romance,Pete Davidson Says His Mental Illness Ain't No Dealbreaker
49,James Corden And Adam Levine Get Pulled Over During 'Carpool Karaoke',James Corden And Adam Levine Get Busted During 'Carpool Karaoke'
50,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene,"Emilia Clarke was like ""omg you won't believe my last 'Game of Thrones' scene!"""
51,Hollywood Doesn't Need 'Difficult' Men To Make Great TV,Hollywood doesn't need no stinkin' difficult men to make great TV.
52,Harvey Weinstein Accusers Say They Never Thought He Would Be Arrested,Harvey Weinstein Accusers Say They Never Thought He Would Get Busted
53,Harvey Weinstein Turns Himself In To Police For Alleged Sex Crimes,Harvey Weinstein Turns Himself In To Police For Alleged Sexual Assault
54,John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Masterpiece,John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Banger
55,Now Boba Fett Is Getting His Own 'Star Wars' Movie,"Boba Fett's gettin' his own movie, yo!"
56,Trump Suggests North Korea Summit Could Still Happen,"Trump's like ""maybe the North Korea summit could still happen"""
57,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Dump
58,Publix Suspends Contributions To NRA-Backed Politician Amid Protests,Publix Suspends Contributions To NRA-Backed Politician Amid Protests
59,Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says,Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says
60,A Bag Of Wet Socks Is Apparently Living In The White House Press Briefing Room,The White House Press Briefing Room is a total shitshow.
61,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,A Proud Boy went to some guy's house who was talking shit on Twitter.
62,All The Things The NRA Has Blamed For The Texas School Shooting,All The Things The NRA Has Laid The Blame On For The Texas School Shooting
63,Here's What Happens When A Catholic Hospital Won't Try To Save You,Here's What Happens When A Catholic Hospital Won't Try To Save You
64,Trump's New Executive Orders Make It Easier To Fire Federal Workers,Trump's New Executive Orders Make It Easier To Can Federal Workers
65,Monsanto And Bayer Are Set To Merge. Here's Why You Should Care.,Monsanto And Bayer Are Set To Merge. Here's Why This Shit Matters To You.
66,The Joy Of Watching Harvey Weinstein 2019s Perp Walk,The Schadenfreude of Watching Harvey Weinstein 2019s Perp Walk
67,The 20 Funniest Tweets From Women This Week,The 20 Funniest Tweets From Women This Week
68,'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Incredible,Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Sick
69,Older Gay Men Try Out 'New Gay' Slang In This Hilarious Video,Older Gay Men Try Out 'New Gay' Slang In This Hilarious Video
70,How 'RuPaul 2019s Drag Race' Is Teaching Straight People About Queer Culture,How 'RuPaul 2019s Drag Race' Is Schooling Straight People About Queer Culture
71,Fish Market Buys Freedom For Fred The 70-Pound Octopus,Some Fish Market just bought freedom for this 70-pound octopus named Fred.
72,North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019,North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019
73,Investigation Finds Russian Missile Shot Down Flight MH17,The investigation found that a Russian missile shot down flight MH17.
74,North Korea Demolishes Tunnels At Nuclear Test Site  Reports Say,"North Korea Demolishes Tunnels At Nuclear Test Site, Y'all"
75,How Kim Jong Un  2018Baited 2019 Trump Into Canceling The North Korea Summit,How Kim Jong Un played Trump like a fiddle and got the summit canceled
76,Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming',"Michelle Obama's upcoming memoir, 'Becoming', is about to drop."
77,'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need,Late Night' Writer's Royal Wedding Recap Is The Only One You Need
78,Morgan Freeman Accused Of Inappropriate Behavior And Sexual Harassment,Morgan Freeman's been accused of being a perv.
79,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,Jets Chairman Christopher Johnson Ain't Gonna Fine Players For Anthem Protests
80,Andy Cohen And Taylor Swift Are Over Their Katy Perry Drama,Andy Cohen and Taylor Swift have squashed their beef with Katy Perry.
81,'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline,Infinity War' Writers Try To Clear Up Marvel's Wack Timeline
82,David Blaine Chews Glass And Lets James Corden Puncture His Cheek,David Blaine chomps on some glass and lets James Corden put a hole in his cheek
83,Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Amazing',Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Lit'
84,Colbert Exposes The 00a0Biggest Flaw In Trump 2019s Latest Conspiracy Theory,Colbert Exposes The Biggest Flaw In Trump's Latest Conspiracy Theory
85,Seth Meyers Gives Donald Trump Some Valuable Marketing Advice,Seth Meyers Gives Donald Trump Some Marketing Tips
86,U.S. Launches Auto Import Probe  China Vows To Defend Its Interests,U.S. Launches Auto Import Probe  China Vows To Defend Its Interests
87,This Women Pulled Out All The Stops To Land Her Dream Job,This chick went all out to land her dream job.
88,Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush, Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush
89,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims
90,Trump Abruptly Cancels North Korea Summit With Kim Jong Un,Trump just straight up canceled the North Korea summit with Kim Jong Un.
91,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Hooker Yacht Party
92,Immigrant Children Accuse Border Patrol Of Abuse And Neglect  Report Shows,Immigrant Children Accuse Border Patrol Of Abuse And Neglect  Report Shows
93,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit
94,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant,Trump Lawyer Attended DOJ Meeting On Confidential FBI Snitch
95,Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150 000 Females A Year 2019,Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150 000 Females A Year
96,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get  2018Spygate 2019 Report,Rudy Giuliani: Trump Ain't Talkin' to Mueller Until We Get  2018Spygate 2019 Report
97,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win
98,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling
99,The Koch Network Is Going After One Of Trump 2019s Favorite Congressmen,The Koch Network Is Going After One Of Trump's 2019 faves
100,Trump Posthumously Pardons Boxer Jack Johnson,Trump Posthumously Pardons Boxer Jack Johnson
101,Ellen Tears Up When Ashton Kutcher Donates $4 Million To Her Wildlife Fund,Ellen balled when Ashton Kutcher gave her $4 million for her wildlife fund.
