,Prompt,Output
0,There Were 2 Mass Shootings In Texas Last Week  But Only 1 On TV,There Were 2 Mass Shootings In Texas Last Week  But Only 1 On The Teevee
1,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Bop
2,Hugh Grant Marries For The First Time At Age 57,Hugh Grant Ties The Knot For The First Time At Age 57
3,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork
4,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog
5,Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Undermine Legacy, Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Wreck His Legacy
6,Donald Trump Is Lovin' New McDonald's Jingle In 'Tonight Show' Bit,Donald Trump Is Lovin' New McDonald's Jingle In 'Tonight Show' Bit
7,What To Watch On Amazon Prime That 2019s New This Week,What To Watch On Amazon Prime That's New This Week
8,Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film,Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film
9,What To Watch On Hulu That 2019s New This Week,What To Watch On Hulu That's New This Week
10,Justin Timberlake Visits Texas School Shooting Victims,Justin Timberlake Visits Texas School Shooting Victims in the Hospital
11,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit
12,With Its Way Of Life At Risk  This Remote Oyster-Growing Region Called In Robots, With Its Way Of Life At Risk This Remote Oyster-Growing Region Called In Robots
13,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Fucked System
14,'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr., 'Trump's Son Should Be Scared': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.
15,Edward Snowden: There's No One Trump Loves More Than Vladimir Putin,Edward Snowden: There's No One Trump Loves More Than Vlad the Impaler
16,Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim,Booyah: Obama Photographer Hilariously Owns Trump's 'Spy' Claim
17,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum
18,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation, Output:  Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation
19,Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Does), Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Totes Does)
20,Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining,Twitter #PutStarWarsInOtherFilms And It Was Hilarious
21,Mystery 'Wolf-Like' Animal Reportedly Shot In Montana  Baffles Wildlife Officials,Mystery 'Wolf-Like' Animal Reportedly Shot In Montana  Baffles Wildlife Officials
22,North Korea Still Open To Talks After Trump Cancels Summit,North Korea Still Open To Talks After Trump Yeets from Summit
23,2 Men Detonate Bomb Inside Indian Restaurant Near Toronto  Authorities Say,2 Men Detonate Bomb Inside Indian Restaurant Near Toronto  Authorities Say
24,Thousands Travel Home To Ireland To Vote On Abortion Access,Thousands Travel Home To Ireland To Vote On Abortion Access
25,Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals,Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals
26,Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Fake Patriotism', Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Bogus Patriotism'
27,In Historic Victory  Barbados Elects First Female Prime Minister," In Historic Victory, Barbados Elects First Female Prime Minister"
28,Police Killed At Least 378 Black Americans From The Moment Colin Kaepernick Protested,Police Murdered At Least 378 Black Americans From The Moment Colin Kaepernick Protested
29,Jack Johnson Was Pardoned  But Taboo Sex Is Still Being Criminalized, Jack Johnson Was Pardoned But Taboo Sex Is Still Being Criminalized
30,BET Chairman and CEO Debra Lee Is Stepping Down, BET Chairman and CEO Debra Lee Is Stepping Down
31,Rachel Dolezal Faces Felony Charges For Welfare Fraud,Rachel Dolezal Faces Felony Charges For Welfare Scamming
32,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus', Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus'
33,Kanye West Spent $85 000 On Photo Of Whitney Houston's Bathroom For Album Cover,Kanye West Spent $85 000 On A Picture Of Whitney Houston's Gross Bathroom For Album Cover
34,Morgan Freeman Dropped From Marketing Campaigns After Harassment Accusations, Morgan Freeman Gets the Boot From Marketing Campaigns After Harassment Accusations
35,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today
36,Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter,Trump's New 'MAGA'-Themed Swimwear Drowns On Twitter
37,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit, Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit
38,Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Punishment, Output:  Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Form Of Torture
39,Man Faces Charges After Pulling Knife  Stun Gun On Muslim Students At McDonald's,Man Facing Charges After Going H.A.M. On Muslim Students At McDonald's
40,Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry',Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry'  
41,2 People Injured In Indiana School Shooting,2 People Injured In Indiana School Shooting.
42,People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman, Output:  People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman
43,David Cross Proves Yet Again That He 2019s Terrible At Apologizing,David Cross Proves Yet Again That He 2019s A Big ol' Douchebag
44,'Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film,Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film
45,What You Missed About The Saddest Death In 'Avengers: Infinity War',What You Missed About The Saddest Death In 'Avengers: Infinity War'  
46,George Takei Accuser Walks Back Story Of Drugging And Sexual Assault, George Takei Accuser Walks Back Story Of Drugging And Sexual Assault
47,Samantha Bee's Parents Think America Is Basically A War Zone, Samantha Bee's Parents Think America Is Basically a War Zone
48,Pete Davidson Says His Mental Illness Doesn't Ruin Romance,Pete Davidson Says His Mental Illness Ain't No Thang
49,James Corden And Adam Levine Get Pulled Over During 'Carpool Karaoke', James Corden And Adam Levine Get Busted During 'Carpool Karaoke'
50,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene
51,Hollywood Doesn't Need 'Difficult' Men To Make Great TV,Hollywood Doesn't Need 'Difficult' Men To Make Great TV
52,Harvey Weinstein Accusers Say They Never Thought He Would Be Arrested,Harvey Weinstein Accusers Say They Never Thought He Would Be Brought to Justice
53,Harvey Weinstein Turns Himself In To Police For Alleged Sex Crimes, Output:  Harvey Weinstein Turns Himself In To Police For Alleged Sex Crimes
54,John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Masterpiece, John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Masterpiece
55,Now Boba Fett Is Getting His Own 'Star Wars' Movie,Now Boba Fett Is Getting His Own 'Star Wars' Flick
56,Trump Suggests North Korea Summit Could Still Happen, Trump Suggests North Korea Summit Could Still Happen
57,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report, Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Dump
58,Publix Suspends Contributions To NRA-Backed Politician Amid Protests, Publix Suspends Contributions To NRA-Backed Politician Amid Protests
59,Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says, Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says
60,A Bag Of Wet Socks Is Apparently Living In The White House Press Briefing Room, A Bag Of Wet Socks Is Apparently Living In The White House Press Briefing Room
61,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,A Member Of The Far-Right Proud Boys Menaced A Twitter User IRL
62,All The Things The NRA Has Blamed For The Texas School Shooting,All The Things The NRA Has Blamed For The Texas School Shooting:  -The sun -The moon -The stars -The sky -The wind -The rain -The clouds -The birds -The bees -The trees -The grass -The flowers -The dirt -The rocks -The ants -The worms
63,Here's What Happens When A Catholic Hospital Won't Try To Save You,Here's What Happens When A Catholic Hospital Won't Try To Save You  
64,Trump's New Executive Orders Make It Easier To Fire Federal Workers, Trump's New Executive Orders Make It Easier To Can Federal Workers
65,Monsanto And Bayer Are Set To Merge. Here's Why You Should Care.,Monsanto And Bayer Are Set To Merge. Here's Why You Should Gaf.
66,The Joy Of Watching Harvey Weinstein 2019s Perp Walk,The Joy Of Watching Harvey Weinstein 2019s Perp Walk
