,Prompt,Resp,Score,,,,
0,There Were 2 Mass Shootings In Texas Last Week  But Only 1 On TV," There were 2 mass shootings in Texas last week, but only 1 made it to the news.",0,0,152,49.51%,
1,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song, Will Smith joins Diplo and Nicky Jam for the 2018 World Cup's official song.,0,1,112,36.48%,72.26%
2,Hugh Grant Marries For The First Time At Age 57, Hugh Grant finally gets hitched at 57.,3,2,19,6.19%,12.26%
3,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork," Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork  Jim Carrey is not happy with the Democrats, and he's made that very clear in his latest piece of artwork. The actor and artist took to Twitter to share a drawing of Democratic Congressman Adam Schiff, calling him a ""castrato"" and blasting the party as a whole.  ""Hey @AdamSchiff, you spineless weasel! You've been exposed and your true",1,3,24,7.82%,15.48%
4,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog, Julianna Margulies uses Donald Trump poop bags to pick up after her dog.,0,,307,,
5,Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Undermine Legacy, Morgan Freeman is 'devastated' that sexual harassment claims could undermine his legacy.,0,,,,
6,Donald Trump Is Lovin' New McDonald's Jingle In 'Tonight Show' Bit, Donald Trump is lovin' new McDonald's jingle in 'Tonight Show' bit.,0,,,,
7,What To Watch On Amazon Prime That 2019s New This Week, What's new on Amazon Prime this week?,1,,155,,
8,Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film, Mike Myers says he's down for another Austin Powers movie.,3,,,,
9,What To Watch On Hulu That 2019s New This Week, What's new on Hulu this week?,1,,,,
10,Justin Timberlake Visits Texas School Shooting Victims, Justin Timberlake visits Texas school shooting victims.,0,,,,
11,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit, South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit  South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit,1,,,,
12,With Its Way Of Life At Risk  This Remote Oyster-Growing Region Called In Robots, This remote oyster-growing region called in robots with its way of life at risk.,1,,,,
13,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System, Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System  Trump's crackdown on immigrant parents puts more kids in an already strained system.,1,,,,
14,'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr., Trump's son should be concerned: FBI obtained wiretaps of Putin ally who met with Trump Jr.,1,,,,
15,Edward Snowden: There's No One Trump Loves More Than Vladimir Putin, Edward Snowden: Trump loves Putin more than anyone else.,0,,,,
16,Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim," That's what you get, Trump!",1,,,,
17,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum, Ireland votes to repeal abortion amendment in landslide referendum.,0,,,,
18,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation, Ryan Zinke looks to shut some haters up with 'grand pivot' to conservation.,3,,,,
19,Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Does), Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Does)  Weird Father's Day Gifts Your Dad Doesn't Know He Wants (But He Does),1,,,,
20,Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining, Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining  Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining,1,,,,
21,Mystery 'Wolf-Like' Animal Reportedly Shot In Montana  Baffles Wildlife Officials, Mystery 'Wolf-Like' Animal Reportedly Shot In Montana Baffles Wildlife Officials  What the heck is this thing?,1,,,,
22,North Korea Still Open To Talks After Trump Cancels Summit, North Korea is still open to talks after Trump cancels the summit.,0,,,,
23,2 Men Detonate Bomb Inside Indian Restaurant Near Toronto  Authorities Say," 2 dudes blew up a bomb inside an Indian restaurant near Toronto, authorities say.",3,,,,
24,Thousands Travel Home To Ireland To Vote On Abortion Access, Thousands travel home to Ireland to vote on abortion access.  Thousands travel home to Ireland to vote on abortion access.,1,,,,
25,Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals, Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals  Irish Voters Set To Liberalize Abortion Laws In Landslide  Exit Poll Signals,1,,,,
26,Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Fake Patriotism', Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Bogus Patriotism',2,,,,
27,In Historic Victory  Barbados Elects First Female Prime Minister," In a historic victory, Barbados has elected its first female Prime Minister.",0,,,,
28,Police Killed At Least 378 Black Americans From The Moment Colin Kaepernick Protested, The police killed at least 378 black Americans since Colin Kaepernick protested.,0,,,,
29,Jack Johnson Was Pardoned  But Taboo Sex Is Still Being Criminalized, Jack Johnson was pardoned but taboo sex is still being criminalized.,0,,,,
30,BET Chairman and CEO Debra Lee Is Stepping Down, BET Chairman and CEO Debra Lee is stepping down.,0,,,,
31,Rachel Dolezal Faces Felony Charges For Welfare Fraud, Rachel Dolezal faces felony charges for welfare fraud.,0,,,,
32,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus', Bishop Michael Curry is joining a Christian march to the White House to 'reclaim Jesus.',0,,,,
33,Kanye West Spent $85 000 On Photo Of Whitney Houston's Bathroom For Album Cover," Kanye West spent $85,000 on a photo of Whitney Houston's bathroom for his album cover.",0,,,,
34,Morgan Freeman Dropped From Marketing Campaigns After Harassment Accusations," After the harassment accusations, Morgan Freeman was nixed from the marketing campaigns.",3,,,,
35,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today," How the Chinese Exclusion Act can help us understand immigration politics today:  The Chinese Exclusion Act was a law passed in 1882 that prevented Chinese immigrants from entering the United States. The law was in response to fears that the Chinese were taking jobs away from Americans, and it remained in effect until 1943. Today, the Chinese Exclusion Act is seen as a reminder of the xenophobic and racist attitudes that have often been directed at immigrants in this country. As we debate immigration reform today",1,,,,
36,Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter, Trump's new 'MAGA'-themed swimwear sinks on Twitter.,0,,,,
37,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit," Seth Meyers has 1 funny regret after Trump cancels North Korea summit.  Dang, Seth Meyers had one funny regret after Trump called off that North Korea summit.",1,,,,
38,Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Punishment, Colbert wants to turn NYC subway rides into a new and terrible punishment.,0,,,,
39,Man Faces Charges After Pulling Knife  Stun Gun On Muslim Students At McDonald's, Man Facing Charges After Pulling Knife on Muslim Students At McDonald's,1,,,,
40,Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry', Jimmy Kimmel knows why Iran's supreme leader watches 'Tom and Jerry'.,0,,,,
41,2 People Injured In Indiana School Shooting, 2 ppl injured in Indiana school shooting,0,,,,
42,People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman, People are shook by how much this Nigerian man looks like Chadwick Boseman.,2,,,,
43,David Cross Proves Yet Again That He 2019s Terrible At Apologizing, David Cross Proves Yet Again That He's Terrible At Apologizing,0,,,,
44,'Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film, Sesame Street creators are suing the makers of an upcoming adult-themed puppet film.,0,,,,
45,What You Missed About The Saddest Death In 'Avengers: Infinity War', What you missed about the saddest death in 'Avengers: Infinity War' is that it was totally unexpected and really hit fans hard.,1,,,,
46,George Takei Accuser Walks Back Story Of Drugging And Sexual Assault, George Takei Accuser Walks Back Story Of Drugging And Sexual Assault  The George Takei accuser who claimed the actor drugged and sexually assaulted him has now walked back his story.,1,,,,
